uniprot_acc	complex_id	protein_complex_name
P11154	329	putative Pyc1-Pyc2 isozyme complex
P53178	516	UDP-N-acetylglucosamine transferase complex (GO)
Q03071	424	Cul3-RING ubiquitin ligase complex (GO)
P20676	342	putative Kap95-Nup1 nuclear pore subcomplex
P08964	464	putative Cmd1-Mlc1-Myo2-Myo1-Mlc2 complex
P06782	143	snf1 protein kinase complex
P38934	494	ribonucleoprotein complex (GO)
Q06505	70	Spt6-Spn1 elongator factor complex
P40989	410	1,3-beta-glucan synthase complex (GO)
Q04549	432	dynactin complex (GO)
Q06685	338	putative Ygr017w-Vip1 complex
P35719	457	mitochondrial ribosome (GO)
P38074	290	putative Hmt1-Scd6-Psp2 complex
P53840	16	Csm3-Tof1 complex
Q07457	284	putative Bre1-Lge1 complex
P12687	94	mitochondtrial large ribosomal subunit
P32585	138	Srb-mediator complex
P05756	170	cytosolic small ribosomal subunit
P40010	204	preribosome, large subunit precursor
P38123	230	COMPASS complex
P38931	138	Srb-mediator complex
Q92331	491	retromer complex
Q12018	164	SCF ubiquitin ligase complex
P40038	426	cyclin-dependent protein kinase holoenzyme complex (GO)
P53254	425	90S preribosome
Q99257	471	nuclear RNA export factor complex (GO)
Q12508	132	GID complex
P0CX35	154	cytosolic small ribosomal subunit
P25694	7	Cdc48-Ufd1-Npl4 complex
P53959	134	Golgi transport complex
P40212	219	cytosolic large ribosomal subunit
P53131	409	spliceosome
P40154	187	INO80 complex
Q12373	5	HAT-A4 complex
P09734	310	putative Tub3-Gcn1-Gcn20-Gfa1-Mae1-Sam1-Clu1 complex
P38175	123	mitochondrial small ribosomal subunit
P35719	457	putative Pkh1-Mrp8-Pil1-Lsp1 complex
P21243	192	proteasome core complex
Q03071	509	transcription elongation factor complex (GO)
P53091	446	MCM complex (GO)
P24280	287	putative Ptc7-Sec14 complex
Q06102	101	CPF complex
P34218	345	NuA3 histone acetyltransferase complex (GO)
Q12055	483	preribosome (GO)
P36118	346	putative Cwc2-Spp382-Ntr2 complex
P39940	21	ubiquitin ligase complex (GO)
P52553	221	prefoldin complex
P25559	83	Ctf18 RFC-like complex
P35719	395	putative Pkh1-Mrp8-Pil1-Lsp1 complex
Q02939	352	putative core TFIIH Tfb5-Tfb2 subcomplex
Q02630	74	nucleoporin Nup82 subcomplex
P23639	192	proteasome core complex
P42900	28	Nam1-Sls1 complex
P52871	512	translocon complex (GO)
P53598	50	succinyl-CoA ligase
P46679	499	Sin3 complex (GO)
Q12690	219	cytosolic large ribosomal subunit
Q08754	186	exomer complex
Q12464	35	SWR1 complex
P38759	190	retromer complex
P26786	154	90S preribosome
Q02892	204	preribosome, large subunit precursor
P20604	9	putative Sit4-Sap185-Rts3-Hrk1 complex
P39744	204	Noc2p-Noc3p complex (GO)
P52286	255	putative Skp1-Ypt52-Ymr258c complex
P53278	339	putative Ygr130c-Ymr031c complex
Q08162	229	exosome (RNase complex)
P25646	309	putative Ptc6-Pro2 complex
P25339	219	cytosolic large ribosomal subunit
P38238	238	putative Trm7-Rtt10 complex
P25349	354	putative Ycp4-Rfs1-Pst2 complex
P53600	131	COPI vesicle coat
Q03124	171	RSC complex
P06100	179	CCR4-NOT Not2-Not5 subcomplex
P33315	237	putative Tkl2-Tkl1 isozyme complex
P46961	438	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex (GO)
P23724	192	proteasome core complex
P0C0W1	154	cytosolic small ribosomal subunit
Q05636	229	exosome (RNase complex)
P38922	439	heterogeneous nuclear ribonucleoprotein complex (GO)
Q12517	67	Dcp1-Dcp2 decapping enzyme complex
P47061	178	GARP complex
Q02931	489	RENT complex (GO)
P06777	476	nucleotide-excision repair factor 1 complex
P38339	366	putative Rgd1-Fyv8 complex
P40155	319	putative Pex14-Pex17 complex
P39692	503	sulfite reductase complex (NADPH) (GO)
P40054	258	putative Ser3-Ser33 isozyme complex
Q01662	351	putative Map1-Ybr030w complex
P13586	315	putative Pmr1-Psd1 complex
P33302	249	putative Flc2-Pdr5 complex
P47017	462	mRNA cap complex (GO)
P40157	216	chaperonin-containing T-complex
P28003	378	putative Fun19-Kap123 complex
P31244	424	repairosome (GO)
P35719	395	mitochondrial ribosome (GO)
Q01939	183	proteasome regulatory particle
P14747	416	calcineurin complex
P01123	384	putative Ypt1-Dss4 complex
P20434	182	RNA polymerase I complex
P32288	253	putative Hsp42-Gln1 complex
P13382	147	alpha DNA polymerase:primase complex
P40069	402	putative Kap123-Ypr174c complex
Q05359	77	Erp1-Erp2-Emp24-Erv25 p24 complex
P49334	452	mitochondrial outer membrane translocase complex (GO)
P39940	515	ubiquitin ligase complex (GO)
P42845	499	Sin3 complex (GO)
P02994	167	eukaryotic translation elongation factor 1 complex
P50101	250	putative Ecm30-Ubp15 complex
P38920	214	Mlh2-Mlh1 heterodimer
P25294	337	putative Hsp42-Sis1 complex
P14907	78	nucleoporin Nup82 subcomplex
Q03956	220	RAVE complex
P38255	109	Rpd3L complex
P32829	461	Mre11 complex (GO)
P28495	261	F-actin capping protein complex (GO)
Q03071	478	Cul3-RING ubiquitin ligase complex (GO)
P35189	469	RNA polymerase II complex
P28743	444	kinesin complex (GO)
P25554	174	SAGA complex
Q06205	204	preribosome, large subunit precursor
P12868	161	HOPS complex
P35169	112	TORC1 complex (GO)
P35718	182	RNA polymerase III complex
Q12468	203	signalosome
P36523	94	mitochondtrial large ribosomal subunit
P53254	425	CURI complex (GO)
P00817	317	putative Ipp1-Ack1-Rom2 complex
Q08685	71	cleavage factor I complex
P39929	405	ESCRT III complex (GO)
P23615	509	Spt6-Spn1 elongator factor complex
P06838	165	nucleotide-excision repair factor 1 complex
Q06512	468	Noc4p-Nop14p complex (GO)
P00817	358	putative Ipp1-Ack1-Rom2 complex
Q07532	215	DNA-directed RNA polymerase II, holoenzyme (GO)
P49723	495	ribonucleoside-diphosphate reductase complex (GO)
P10849	28	Nam1-Sls1 complex
P34077	78	nucleoporin Nsp1 subcomplex
P35056	311	putative Pex5-Mmt1 complex
P25555	316	putative Kem1-Gbp2-Sro9-Sbp1 complex
Q04067	212	eukaryotic translation initiation factor 3 complex
P33441	146	TREX complex
P53628	171	RSC complex
Q12476	99	TRAMP complex
P47128	469	NuA3 histone acetyltransferase complex (GO)
Q05543	34	Rtt103-Rai1-Rat1 complex
P38282	1	Spp381-Prp38 complex
P38816	380	putative Trr1-Trr2 complex
P47050	164	SCF ubiquitin ligase complex
P21957	26	Scs2-Opi1 complex
Q08109	87	Hrd1 ubiquitin ligase ERAD-L complex
P61829	454	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) (GO)
Q03290	477	nucleotide-excision repair factor 3 complex (GO)
P38737	183	proteasome complex (GO)
P40079	501	90S preribosome
P40045	261	putative Yer071c-Aim21-Cap1-Cap2 complex
P25638	35	R2TP complex
P31109	502	SNARE complex (GO)
P53128	376	putative Met13-Yml082w complex
Q3E840	356	putative Ats1-Kti11 complex
Q12102	101	CPF complex
Q05947	515	ubiquitin ligase complex (GO)
P10862	14	Rad6-Rad18 complex
Q06142	76	Ulp1 nuclear pore complex
P16658	513	tRNA-intron endonuclease complex (GO)
P53271	134	Golgi transport complex
Q07896	467	preribosome, large subunit precursor
P17157	22	Pho80-Pho81-Pho85 CDK-cyclin complex
P32600	508	TORC1 complex (GO)
P15646	414	box C/D snoRNP complex (GO)
Q06440	375	putative Crn1-Inp52-Bsp1 complex
P39993	341	putative Crm1-Mir1-Erd2-Tub1-Gea2-Mtr10-Kap104 complex
P34221	332	putative Ptc3-Paa1 complex
P47074	459	mitotic checkpoint complex (GO)
Q12329	253	putative Hsp42-Sis1 complex
P36516	94	mitochondtrial large ribosomal subunit
P20435	215	RNA polymerase II complex
P32628	205	nucleotide-excision repair factor 2 complex
Q99380	479	oligosaccharyl transferase complex (GO)
P38238	238	putative Trm7-Ymr259c complex
P08678	36	adenylyl cyclase complex
P36102	153	PAN complex
P20967	114	mitochondrial oxoglutarate dehydrogenase complex
Q08287	246	putative Rsa3-Urb1-Urb2-Nop8 complex
P38633	138	Srb-mediator complex
Q06679	170	90S preribosome
P25344	6	Ste11-Ste50 complex
Q00711	142	mitochondrial respiratory chain complex II (GO)
P22137	82	Clathrin
P53218	129	ribonuclease MRP complex
Q12447	332	putative Paa1-Ptc2 complex
Q12207	297	vacuolar proton-transporting V-type ATPase, V0 domain
P35189	215	NuA3 histone acetyltransferase complex (GO)
P46678	511	transcription factor TFIIIB complex (GO)
P17883	184	Ski complex
P07149	302	putative Trm3-Fas1 complex
P34909	139	CCR4-NOT complex
P34160	470	commitment complex (GO)
Q03290	69	nucleotide-excision repair factor 3 complex (GO)
P19735	125	U4-U6 x U5 tri-snRNP complex
Q06142	76	Nup60-Nup2 nuclear pore complex
P36022	427	cytoplasmic dynein complex (GO)
Q04322	31	Gyl1-Gyp5 complex
P53221	219	cytosolic large ribosomal subunit
P60010	168	SWR1 complex
P32803	343	putative Emp24-Erv25-Erp3-Erp5 complex
P53152	140	ubiquitin conjugating enzyme complex
P22139	182	RNA polymerase II complex
P0CX41	245	putative Rpl23a-Rpl23b-Bcp1-Rkm1 complex
Q03496	238	putative Trm7-Ymr259c complex
P39940	515	putative Yhr131c-Rsp5 complex
Q04949	427	cytoplasmic dynein complex (GO)
Q06630	94	mitochondtrial large ribosomal subunit
P39933	510	transcription factor complex (GO)
P04912	39	Kap114-Nap1 histone complex
Q08962	204	preribosome, large subunit precursor
Q05942	246	nucleolar preribosome, large subunit precursor (GO)
P28000	169	RNA polymerase III complex
Q08920	470	commitment complex (GO)
Q05635	95	ribonuclease H2 complex (GO)
Q08285	229	exosome (RNase complex)
P36525	94	mitochondtrial large ribosomal subunit
Q05787	87	Hrd1 ubiquitin ligase ERAD-L complex
P0CX52	219	cytosolic large ribosomal subunit
P28834	207	mitochondrial isocitrate dehydrogenase complex (NAD+)
Q01855	219	cytosolic large ribosomal subunit
P34216	318	putative Ede1-Syp1 complex
P32342	149	signal recognition particle
P39015	473	cytosolic large ribosomal subunit
Q12499	414	90S preribosome
P25298	101	CPF complex
Q02199	78	nucleoporin Nsp1 subcomplex
P22139	182	RNA polymerase III complex
P39995	168	NuA4 histone acetyltransferase complex
Q03758	515	ubiquitin ligase complex (GO)
Q12483	120	ESCRT II complex
P38931	510	Srb-mediator complex
P53246	323	putative Ygr071c-Vid22-Tbf1 complex
P29295	361	monopolin complex (GO)
P18851	265	heterotrimeric G-protein complex (GO)
P26309	459	mitotic checkpoint complex (GO)
Q02890	18	Rad23-Png1 complex
P32628	18	proteasome complex (GO)
P32598	487	CPF complex
P38782	138	Srb-mediator complex
P20435	215	RNA polymerase III complex
P35181	124	AP-1 adaptor complex
P46990	219	cytosolic large ribosomal subunit
Q03373	10	Ste12-Dig1-Dig2 complex
Q02260	423	U4-U6 x U5 tri-snRNP complex
P40484	262	putative Mob1-Dbf20 complex
P47822	138	Srb-mediator complex
P32471	167	eukaryotic translation elongation factor 1 complex
P57744	451	mitochondrial intermembrane space protein transporter complex (GO)
Q08749	450	mitochondrial inner membrane protein insertion complex (GO)
Q06488	171	RSC complex
P32387	94	mitochondtrial large ribosomal subunit
P35189	397	putative Taf8-Taf14-Taf2 TFIID subcomplex
P36517	94	mitochondtrial large ribosomal subunit
P40056	126	GET complex
P07251	92	mitochondrial proton-transporting ATP synthase complex
P25694	7	Cdc48-Shp1 complex
P40079	170	small nuclear ribonucleoprotein complex (GO)
P32628	484	Rad23-Png1 complex
Q02776	449	mitochondrial inner membrane presequence translocase complex (GO)
P41318	508	TORC2 complex (GO)
P41810	131	COPI vesicle coat
P38132	446	putative Cdc47-Erg26 complex
P06700	489	TEL complex
P07347	148	NatA complex
P39940	21	putative Yhr131c-Rsp5 complex
Q05583	372	putative Cia1-Yhr122w-Met18-Nar1 complex
P52286	417	CBF3 complex (GO)
P12904	143	snf1 protein kinase complex
P25605	413	acetolactate synthase complex (GO)
P35187	488	RecQ helicase-Topo III complex (GO)
P20433	215	RNA polymerase II complex
P14907	78	nucleoporin Nsp1 subcomplex
P38170	233	nuclear condensin complex
P38873	507	TORC1 complex (GO)
P53280	139	CCR4-NOT complex (GO)
P32914	215	RNA polymerase II complex
Q12277	229	exosome (RNase complex)
P39744	466	Noc1p-Noc2p complex (GO)
Q12447	369	putative Ptc3-Paa1 complex
P0CX37	219	cytosolic large ribosomal subunit
Q02767	194	ESCRT I complex
P20457	147	alpha DNA polymerase:primase complex
P40968	409	spliceosome
Q06708	58	Vac14-Fig4 complex
P36046	452	mitochondrial outer membrane translocase complex (GO)
P09798	191	anaphase-promoting complex
P06700	489	nuclear telomere cap complex (GO)
P45978	290	putative Hmt1-Scd6-Psp2 complex
P40327	183	proteasome regulatory particle
Q06096	134	Golgi transport complex
P47176	256	putative Bat1-Bat2 complex
P36076	62	putative Ykl088w-Ppz1 complex
P07703	169	RNA polymerase III complex
P32379	192	proteasome core complex
P32773	100	transcription factor TFIIA complex
P05453	196	translation release factor complex
Q02795	299	putative Wbp1-Swp1 complex
P53731	173	Arp2-3 protein complex
P35207	184	Ski complex
Q12522	204	preribosome, large subunit precursor
P22139	215	RNA polymerase I complex
P25635	412	90S preribosome (GO)
Q12338	493	ribonuclease H2 complex (GO)
P38801	229	exosome (RNase complex)
P40366	419	chromatin accessibility complex (GO)
Q04869	340	putative Put1-Ymr315w complex
P42949	449	mitochondrial inner membrane presequence translocase complex (GO)
P09032	185	eukaryotic translation initiation factor 2B complex
P32607	32	Rtg1-Rtg3 bHLH-Zip complex
P43609	171	RSC complex
P46676	320	putative Sum1-Rfm1 complex
P16370	215	RNA polymerase II complex
Q12460	414	box C/D snoRNP complex (GO)
P34223	8	Cdc48-Shp1 complex
P27895	444	kinesin complex (GO)
P25368	390	CURI complex (GO)
Q02950	123	mitochondrial small ribosomal subunit
P49687	66	nucleoporin Nup84 subcomplex
P32776	223	core TFIIH complex
Q08723	183	proteasome regulatory particle
P06701	473	nuclear telomere cap complex (GO)
P38903	111	protein phosphatase type 2A complex
P32618	293	putative Nnf2-Yel043w complex
Q02206	171	RSC complex
Q99278	138	Srb-mediator complex
P26786	170	cytosolic small ribosomal subunit
P10964	169	RNA polymerase I complex
P00445	4	Sod1-Css1 heterodimer
P20435	182	RNA polymerase I complex
P47821	510	transcription factor complex (GO)
P39966	369	putative Paa1-Ptc2 complex
Q03774	45	tRNA methyltransferase complex
P53136	204	preribosome, large subunit precursor
P38920	43	Mlh2-Mlh1 heterodimer
P38203	234	snRNP U6
P29056	511	transcription factor TFIIIB complex (GO)
P38960	473	nuclear telomere cap complex (GO)
P32447	2	chromatin assembly complex (GO)
P40186	56	Pcl7-Pho85 CDK-cyclin complex
Q12464	187	R2TP complex
P39073	510	transcription factor complex (GO)
Q08144	46	Tlg1 SNARE complex
Q03782	423	commitment complex (GO)
P36104	230	COMPASS complex
P53691	59	Cpr6-Hsc82-Sti1-Hsp82 complex
Q04922	515	ubiquitin ligase complex (GO)
Q99247	387	putative Ubp13-Yol087c complex
Q12166	404	putative Leu4-Leu9 isozyme complex
P20486	426	cyclin-dependent protein kinase holoenzyme complex (GO)
Q05900	423	commitment complex (GO)
Q00816	487	snf1 protein kinase complex
P25357	119	Set3C
P13134	272	putative Kex2-Sil1 complex
Q07532	430	RNA polymerase II complex
P30656	192	proteasome core complex
P27692	215	RNA polymerase II complex
Q06697	122	Cdc73-Paf1 complex
P34110	190	retromer complex
P0CX47	154	cytosolic small ribosomal subunit
P40078	474	putative Arx1-Rsa4-Sda1-Ipi3-Nsa2-Nog2-Bud20-Ipi1-Mdn1 complex
P32786	496	RNA polymerase I transcription factor complex (GO)
Q12186	84	commitment complex (GO)
P38794	426	cyclin-dependent protein kinase holoenzyme complex (GO)
P46959	97	tRNA (m1A) methyltransferase complex
P32485	363	putative Hog1-Rck2 complex
P19736	105	snRNP U2
Q06137	381	putative Fbp26-Ylr345w complex
Q08686	334	putative Yor251c-Rev1 complex
P33767	299	oligosaccharyl transferase complex (GO)
P30902	92	mitochondrial proton-transporting ATP synthase complex
Q03465	486	proteasome regulatory particle (GO)
Q12250	388	putative Pol4-Rpn5 complex
Q12123	38	Dcs1-Dcs2 heterodimer
P47077	475	nucleolar preribosome, small subunit precursor (GO)
P38779	484	preribosome, large subunit precursor
P53267	130	DASH complex
P36076	289	putative Ykl088w-Ppz1 complex
P52490	514	ubiquitin conjugating enzyme complex (GO)
Q12406	171	RSC complex
P50085	49	prohibitin complex
Q04739	143	snf1 protein kinase complex
P53044	7	Cdc48-Ufd1-Npl4 complex
P22579	109	Sin3 complex (GO)
P40060	187	INO80 complex
P46673	66	nucleoporin Nup84 subcomplex
P40217	212	eukaryotic translation initiation factor 3 complex
P38352	236	putatie Saf1-Aah1 complex
P25626	94	mitochondtrial large ribosomal subunit
P38238	240	putative Trm7-Rtt10 complex
P09624	114	mitochondrial oxoglutarate dehydrogenase complex
P0CX54	219	cytosolic large ribosomal subunit
P38165	32	Rtg1-Rtg3 bHLH-Zip complex
P38768	35	R2TP complex
P43572	168	NuA4 histone acetyltransferase complex
Q04935	251	putative Cox20-Chs1 complex
P17157	312	Pcl7-Pho85 CDK-cyclin complex
P13712	421	CAF-1 complex
P32836	51	Gsp1-Prp20 complex
Q08816	273	putative Ssl2-Yor352w complex
P47076	182	RNA polymerase III complex
P40561	348	putative Sgn1-Ygr250c complex
P34232	471	nuclear RNA export factor complex (GO)
Q12046	346	spliceosome
P40303	192	proteasome core complex
P49723	228	ribonucleoside-diphosphate reductase complex (GO)
P12754	185	eukaryotic translation initiation factor 2B complex
Q08235	204	preribosome, large subunit precursor
P06700	473	RENT complex (GO)
P50109	290	putative Hmt1-Scd6-Psp2 complex
Q03308	161	HOPS complex
P18851	128	putative Ark1-Ste4 complex
Q12009	45	tRNA methyltransferase complex
P32913	491	retromer complex
P17967	292	putative Mnl1-Pdi1 complex
P39744	467	Noc1p-Noc2p complex (GO)
P53323	159	EKC-KEOPS protein complex
P32854	55	Vti1-Pep12 complex
P53038	473	nuclear telomere cap complex (GO)
Q12267	233	nuclear condensin complex
P39012	227	GPI-anchor transamidase complex
P36520	94	mitochondtrial large ribosomal subunit
P11747	217	transcription factor TFIID complex
P25573	443	i-AAA complex (GO)
Q06090	94	mitochondtrial large ribosomal subunit
P38754	219	cytosolic large ribosomal subunit
P53255	304	putative Drn1-Dbr1 complex
P20795	161	HOPS complex
P32492	12	myosin V complex (GO)
P53552	146	TREX complex
Q99207	468	Noc4p-Nop14p complex (GO)
P39015	219	cytosolic large ribosomal subunit
P89105	122	Cdc73-Paf1 complex
Q03338	125	U4-U6 x U5 tri-snRNP complex
P13574	10	Ste12-Dig1-Dig2 complex
Q04847	255	putative Skp1-Ypt52-Ymr258c complex
P48563	20	Dop1-Mon2 complex
P36084	84	commitment complex 2
P20486	72	Cln-Cdc28 protein kinase complex
Q04062	183	proteasome regulatory particle
P21825	211	endoplasmic reticulum Sec complex
P40186	426	Pcl7-Pho85 CDK-cyclin complex
Q12463	23	Trm112-Trm11 complex
P53877	362	putative Arx1-Rsa4-Sda1-Ipi3-Nsa2-Nog2-Bud20-Ipi1-Mdn1 complex
P13393	511	transcription factor TFIIIB complex (GO)
Q03940	116	SWR1 complex
P08004	251	putative Cox20-Chs1 complex
Q05942	474	nucleolar preribosome, large subunit precursor (GO)
P53210	338	putative Ygr017w-Vip1 complex
P19956	94	mitochondtrial large ribosomal subunit
P0CX35	170	90S preribosome
P21801	142	mitochondrial respiratory chain complex II
P38334	175	TRAPP complex
Q07921	473	nuclear telomere cap complex (GO)
P47104	220	RAVE complex
P32570	138	Srb-mediator complex
P87108	451	mitochondrial intermembrane space protein transporter complex (GO)
P05756	154	90S preribosome
P14724	191	anaphase-promoting complex
P25847	162	MutSalpha complex
Q03750	397	putative Taf8-Taf14-Taf2 TFIID subcomplex
P43535	310	putative Tub3-Gcn1-Gcn20-Gfa1-Mae1-Sam1-Clu1 complex
P24870	72	Cln-Cdc28 protein kinase complex
P43321	423	U4-U6 x U5 tri-snRNP complex
P32899	170	90S preribosome
P25343	11	Rvs161-Rvs167 complex
P13517	261	F-actin capping protein complex (GO)
P41695	61	Bub1-Bub3 kinase complex
P53909	236	putatie Saf1-Aah1 complex
P32598	101	protein phosphatase type 1 complex (GO)
P32457	201	septin complex
P53829	139	CCR4-NOT complex
P06700	200	nuclear telomere cap complex (GO)
P38211	445	mannosyltransferase complex (GO)
P32828	515	ubiquitin ligase complex (GO)
Q02647	427	cytoplasmic dynein complex (GO)
P31244	424	nucleotide-excision repair factor 4 complex (GO)
Q06506	501	small nuclear ribonucleoprotein complex (GO)
Q08278	138	Srb-mediator complex
P12686	123	mitochondrial small ribosomal subunit
P32462	347	putative Heh2-Erg24 complex
P38891	256	putative Bat1-Bat2 complex
Q05775	212	eukaryotic translation initiation factor 3 complex
P53150	429	DNA ligase IV complex (GO)
Q06639	171	RSC complex
P33301	461	Mre11 complex (GO)
P22276	182	RNA polymerase III complex
P00360	383	putative Tdh1-Tdh2 isozyme complex
P38234	354	putative Ycp4-Rfs1-Pst2 complex
Q12233	454	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) (GO)
P39735	165	nucleotide-excision repair factor 1 complex
P19414	324	putative Yhb1-Aco1 complex
P22135	285	putative Fmc1-Atp12 complex
P32569	138	Srb-mediator complex
P16474	178	GARP complex
P53861	270	putative Ela1-Tys1 complex
Q03940	187	INO80 complex
P40362	170	90S preribosome
P06700	200	TEL complex
P04147	222	eukaryotic translation initiation factor 4F complex
P30657	192	proteasome core complex
P53930	168	NuA4 histone acetyltransferase complex
P36104	101	COMPASS complex
P08518	215	RNA polymerase II complex
Q06091	409	spliceosome
P18961	359	putative Ypk1-Ypk2 complex
P39111	152	vacuolar proton-transporting V-type ATPase, V1 domain
P20437	72	Cln-Cdc28 protein kinase complex
P33201	204	preribosome, large subunit precursor
P40469	372	putative Cia1-Yhr122w-Met18-Nar1 complex
P20434	215	RNA polymerase III complex
P53861	270	Cul3-RING ubiquitin ligase complex (GO)
P14736	205	nucleotide-excision repair factor 2 complex
P22082	171	RSC complex
Q99394	175	TRAPP complex
Q04053	75	Snx4-Snx41 heterodimer
Q12680	408	putative Glt1-Ylr257w complex
P32492	465	myosin V complex (GO)
Q03981	203	signalosome
P33411	63	putative Slu7-Prp18 complex
P53905	234	snRNP U6
Q12191	40	Grh1-Bug1 complex
P53168	130	DASH complex
P15731	484	putative Ubc4-Ufd4 complex
P53115	187	INO80 complex
P39515	449	mitochondrial inner membrane presequence translocase complex (GO)
Q03337	175	TRAPP complex
P35203	417	CBF3 complex (GO)
P20436	182	RNA polymerase II complex
Q08491	434	exosome (RNase complex) (GO)
P0CX23	219	cytosolic large ribosomal subunit
P80967	452	mitochondrial outer membrane translocase complex (GO)
O13539	146	TREX complex
P28791	29	ER SNARE Use1
Q12421	81	Atg11-Atg17-Atg29-Cis1 complex
P40541	89	nuclear cohesin complex
P32628	484	repairosome (GO)
P38238	240	putative Trm7-Ymr259c complex
P46949	366	putative Rgd1-Fyv8 complex
P32795	443	i-AAA complex (GO)
Q02197	115	NatC complex
P40359	93	GINS complex
P47142	120	ESCRT II complex
P0CX43	219	cytosolic large ribosomal subunit
P21691	421	chromatin silencing complex (GO)
Q12250	183	putative Pol4-Rpn5 complex
P80428	168	SWR1 complex
P54837	77	putative Emp24-Erv25-Erp3-Erp5 complex
P53855	239	putative Atg18-Atg2 complex
Q02204	94	mitochondtrial large ribosomal subunit
Q12447	332	putative Ptc3-Paa1 complex
Q03323	230	COMPASS complex
Q99220	87	Hrd1 ubiquitin ligase ERAD-L complex
Q08004	362	putative Arx1-Rsa4-Sda1-Ipi3-Nsa2-Nog2-Bud20-Ipi1-Mdn1 complex
Q03290	477	TFIIK complex
P01098	453	mitochondrial proton-transporting ATP synthase complex (GO)
P35845	279	putative Osh2-Swh1 complex
P25296	416	calcineurin complex (GO)
Q06819	125	U4-U6 x U5 tri-snRNP complex
P46965	498	signal peptidase complex (GO)
P22147	316	putative Kem1-Gbp2-Sro9-Sbp1 complex
P25808	204	preribosome, large subunit precursor
P53261	204	preribosome, large subunit precursor
P20436	182	RNA polymerase III complex
Q02354	170	90S preribosome
Q02931	170	90S preribosome
P31334	94	mitochondtrial large ribosomal subunit
P39073	138	transcription factor complex (GO)
P53068	191	anaphase-promoting complex
P38217	341	putative Crm1-Mir1-Erd2-Tub1-Gea2-Mtr10-Kap104 complex
Q02685	488	RecQ helicase-Topo III complex (GO)
P40036	487	protein phosphatase type 1 complex (GO)
P20052	22	cyclin-dependent protein kinase holoenzyme complex (GO)
P11978	473	TEL complex
P40955	186	exomer complex
P32828	259	putative Slx5-Swa2 complex
P20434	215	RNA polymerase II complex
P17555	36	adenylyl cyclase complex
P09064	185	eukaryotic translation initiation factor 2B complex
P06779	490	Cul3-RING ubiquitin ligase complex (GO)
P32601	370	putative Ypt1-Dss4 complex
Q05635	493	ribonuclease H2 complex (GO)
P06779	150	Cul3-RING ubiquitin ligase complex (GO)
P41807	152	vacuolar proton-transporting V-type ATPase, V1 domain
Q99344	27	Ula1-Uba3 enzyme complex
P38920	463	MutLalpha complex
Q03714	87	Hrd1 ubiquitin ligase ERAD-L complex
Q04603	419	epsilon DNA polymerase complex
P38737	183	proteasome regulatory particle
Q03218	311	putative Pex5-Mmt1 complex
P25368	425	putative Rrp7-Ifh1 complex
Q12493	64	COMA complex
P0CX48	154	cytosolic small ribosomal subunit
Q05022	204	preribosome, large subunit precursor
P46654	386	putative Rps0a-Rps0b complex
P11978	473	nuclear telomere cap complex (GO)
P32447	2	Asf1-Rad53 complex
Q12447	369	putative Paa1-Ptc2 complex
Q03290	69	TFIIK complex
P13517	435	putative Yer071c-Aim21-Cap1-Cap2 complex
Q04969	498	signal peptidase complex (GO)
P47064	106	AP-3 adaptor complex
Q06411	409	spliceosome
P47077	412	nucleolar preribosome, small subunit precursor (GO)
Q02825	157	tRNA-intron endonuclease complex
P07278	195	cAMP-dependent protein kinase complex
Q04651	295	putative Erv46-Erv41-Ero1 complex
Q00816	487	protein phosphatase type 1 complex (GO)
Q08491	229	exosome (RNase complex)
P38803	362	putative Arx1-Rsa4-Sda1-Ipi3-Nsa2-Nog2-Bud20-Ipi1-Mdn1 complex
Q03096	506	telomerase holoenzyme complex (GO)
P32349	182	RNA polymerase III complex
P50106	169	RNA polymerase I complex
P31244	478	nucleotide-excision repair factor 4 complex (GO)
P38293	30	Pba1-Pba2 complex
Q04213	158	ISW1 complex
Q12454	349	putative Oca6-Oca5-Oca4-Oca3-Oca1-Oca2 complex
P38779	204	proteasome complex (GO)
P39719	244	putative Flc2-Pdr5 complex
P29295	460	monopolin complex (GO)
Q06506	170	90S preribosome
Q06440	307	putative Crn1-Inp52-Bsp1 complex
P18851	440	putative Ark1-Ste4 complex
P40487	25	Dph1-Dph2-Dph3 complex
Q12154	126	GET complex
P28000	169	RNA polymerase I complex
P53125	73	chromatin accessibility complex (GO)
P00924	482	phosphopyruvate hydratase complex (GO)
P46962	166	carboxy-terminal domain protein kinase complex
P21801	455	mitochondrial respiratory chain complex II
P41543	479	oligosaccharyl transferase complex (GO)
Q12232	357	putative Yer140w-Slp1 complex
Q06505	509	transcription elongation factor complex (GO)
P60010	168	NuA4 histone acetyltransferase complex
P40302	192	proteasome core complex
P39744	204	preribosome, large subunit precursor
P40368	74	nucleoporin Nup82 subcomplex
P36015	29	ER SNARE Use1
P81451	454	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) (GO)
Q12368	125	U4-U6 x U5 tri-snRNP complex
Q04601	191	anaphase-promoting complex
P06700	65	RENT complex (GO)
P32855	202	exocyst
Q08492	170	90S preribosome
P09624	114	glycine cleavage complex (GO)
P43593	183	proteasome regulatory particle (GO)
