"Gene Name","Protein IDs","Benign_vs_Malignant_log2 fold change","Benign_vs_Malignant_p.val","Benign_vs_Malignant_p.adj","significant","Benign_vs_Malignant_significant","imputed","num_NAs","Protein.names"
"RAE1","P78406",-1.85,0.000175,0.00129,TRUE,TRUE,TRUE,10,"mRNA export factor"
"RALA","P11233",-1.45,0.00609,0.0159,TRUE,TRUE,TRUE,15,"Ras-related protein Ral-A"
"RANBP2","P49792",-2,6.22e-05,0.000707,TRUE,TRUE,TRUE,2,"E3 SUMO-protein ligase RanBP2"
"RANGAP1","P46060",-1.04,0.0019,0.0068,TRUE,TRUE,TRUE,1,"Ran GTPase-activating protein 1"
"RARS","P54136",-1.38,1e-04,0.00095,TRUE,TRUE,TRUE,1,"Arginine--tRNA ligase, cytoplasmic"
"RBBP7","Q16576",-1.69,0.000388,0.00218,TRUE,TRUE,TRUE,14,"Histone-binding protein RBBP7"
"RBM10","P98175",-1.47,0.000251,0.00164,TRUE,TRUE,TRUE,15,"RNA-binding protein 10"
"RBM14","Q96PK6",-1.82,0.00784,0.0194,TRUE,TRUE,TRUE,3,"RNA-binding protein 14"
"RBM25","P49756",-1.69,0.00129,0.00503,TRUE,TRUE,TRUE,9,"RNA-binding protein 25"
"RBM39","Q14498",-1.57,0.0012,0.00477,TRUE,TRUE,TRUE,2,"RNA-binding protein 39"
"RBM4","Q9BWF3",-2.02,0.00266,0.00872,TRUE,TRUE,TRUE,9,"RNA-binding protein 4;RNA-binding protein 4B"
"RBM47","A0AV96",-1.38,0.000246,0.00163,TRUE,TRUE,TRUE,4,"RNA-binding protein 47"
"RBM8A","Q9Y5S9",-1.14,0.0133,0.0296,TRUE,TRUE,TRUE,1,"RNA-binding protein 8A"
"RBMX","P38159",-1.48,0.00412,0.0119,TRUE,TRUE,TRUE,2,"RNA-binding motif protein, X chromosome;RNA-binding motif protein, X chromosome, N-terminally processed"
"RBP1","P09455",2.02,1.54e-05,0.000317,TRUE,TRUE,FALSE,0,"Retinol-binding protein 1"
"RBPMS","Q93062",1.92,8.68e-06,0.000245,TRUE,TRUE,TRUE,10,"RNA-binding protein with multiple splicing"
"RCC1","P18754",-3.07,3.79e-06,0.000182,TRUE,TRUE,TRUE,7,"Regulator of chromosome condensation"
"RCC2","Q9P258",-1.78,0.000123,0.00107,TRUE,TRUE,TRUE,9,"Protein RCC2"
"REXO2","Q9Y3B8",-1.96,0.0106,0.0247,TRUE,TRUE,TRUE,4,"Oligoribonuclease, mitochondrial"
"RGN","Q15493",2.6,4.1e-10,2.45e-07,TRUE,TRUE,TRUE,10,"Regucalcin"
"RGS10","O43665",-1.69,0.00297,0.00953,TRUE,TRUE,TRUE,15,"Regulator of G-protein signaling 10"
"RMDN1","Q96DB5",-1.33,0.0159,0.034,TRUE,TRUE,TRUE,15,"Regulator of microtubule dynamics protein 1"
"RNASET2","O00584",-1.74,0.00703,0.0179,TRUE,TRUE,TRUE,2,"Ribonuclease T2"
"RPA2","P15927",-2.66,0.000757,0.00343,TRUE,TRUE,TRUE,8,"Replication protein A 32 kDa subunit"
"RPL13A","P40429",-1.63,0.00382,0.0114,TRUE,TRUE,TRUE,3,"60S ribosomal protein L13a;Putative 60S ribosomal protein L13a protein RPL13AP3"
"RPL21","P46778",-1.16,0.0251,0.0488,TRUE,TRUE,TRUE,1,"60S ribosomal protein L21"
"RPL23","P62829",-1.42,0.00894,0.0216,TRUE,TRUE,TRUE,1,"60S ribosomal protein L23"
"RPL30","P62888",-1.31,0.0111,0.0256,TRUE,TRUE,TRUE,2,"60S ribosomal protein L30"
"RPL32","P62910",-1.24,0.0145,0.0315,TRUE,TRUE,TRUE,2,"60S ribosomal protein L32"
"RPL36","Q9Y3U8",-1.06,0.000133,0.00111,TRUE,TRUE,FALSE,0,"60S ribosomal protein L36"
"RPL7","P18124",-1.19,0.00203,0.0071,TRUE,TRUE,FALSE,0,"60S ribosomal protein L7"
"RPL7A","P62424",-1.22,0.000262,0.00167,TRUE,TRUE,FALSE,0,"60S ribosomal protein L7a"
"RPL9","P32969",-1.05,0.0231,0.0457,TRUE,TRUE,TRUE,2,"60S ribosomal protein L9"
"RPLP1","P05386",-2.31,0.0258,0.0498,TRUE,TRUE,TRUE,5,"60S acidic ribosomal protein P1"
"RPS11","P62280",-2.79,0.000124,0.00107,TRUE,TRUE,TRUE,6,"40S ribosomal protein S11"
"RPS15A","P62244",-2.17,0.0196,0.0401,TRUE,TRUE,TRUE,14,"40S ribosomal protein S15a"
"RPS29","P62273",-2.5,0.011,0.0256,TRUE,TRUE,TRUE,5,"40S ribosomal protein S29"
"RPS6","P62753",-2.1,0.0108,0.0251,TRUE,TRUE,TRUE,2,"40S ribosomal protein S6"
"RPS8","P62241",-1.5,0.00671,0.0172,TRUE,TRUE,TRUE,2,"40S ribosomal protein S8"
"RRS1","Q15050",-1.05,0.000228,0.00154,TRUE,TRUE,TRUE,10,"Ribosome biogenesis regulatory protein homolog"
"RSL1D1","O76021",-2.25,5.13e-06,0.000198,TRUE,TRUE,TRUE,12,"Ribosomal L1 domain-containing protein 1"
"RTN1","Q16799",-1.61,0.0213,0.0429,TRUE,TRUE,TRUE,15,"Reticulon-1"
"S100A10","P60903",1.1,0.00043,0.00233,TRUE,TRUE,FALSE,0,"Protein S100-A10"
"S100A4","P26447",2.14,9.12e-06,0.000246,TRUE,TRUE,FALSE,0,"Protein S100-A4"
"S100A9","P06702",1.16,0.0115,0.0264,TRUE,TRUE,FALSE,0,"Protein S100-A9"
"SAE1","Q9UBE0",-1.33,0.00832,0.0204,TRUE,TRUE,TRUE,3,"SUMO-activating enzyme subunit 1;SUMO-activating enzyme subunit 1, N-terminally processed"
"SAFB","Q15424",-2.5,0.000669,0.00316,TRUE,TRUE,TRUE,6,"Scaffold attachment factor B1"
"SARG","Q9BW04",-2.07,0.00547,0.0146,TRUE,TRUE,TRUE,6,"Specifically androgen-regulated gene protein"
"SART3","Q15020",-1.88,0.000209,0.00146,TRUE,TRUE,TRUE,6,"Squamous cell carcinoma antigen recognized by T-cells 3"
"SBSPON","Q8IVN8",3.12,3.69e-05,0.000524,TRUE,TRUE,TRUE,4,"Somatomedin-B and thrombospondin type-1 domain-containing protein"
"SCAMP1","O15126",-1.36,0.0208,0.0422,TRUE,TRUE,TRUE,7,"Secretory carrier-associated membrane protein 1"
"SCARB2","Q14108",-1.29,0.000903,0.00391,TRUE,TRUE,FALSE,0,"Lysosome membrane protein 2"
"SCFD1","Q8WVM8",-1.73,0.00559,0.0149,TRUE,TRUE,TRUE,4,"Sec1 family domain-containing protein 1"
"SCO1","O75880",-1.07,0.00477,0.0132,TRUE,TRUE,TRUE,13,"Protein SCO1 homolog, mitochondrial"
"SCOC","Q9UIL1",-1.55,0.00575,0.0152,TRUE,TRUE,TRUE,10,"Short coiled-coil protein"
"SCP2","P22307",-1.27,0.0258,0.0498,TRUE,TRUE,TRUE,1,"Non-specific lipid-transfer protein"
"SCRIB","Q14160",-1.81,0.000617,0.003,TRUE,TRUE,TRUE,8,"Protein scribble homolog"
"SCRN2","Q96FV2",-1.57,0.00476,0.0132,TRUE,TRUE,TRUE,8,"Secernin-2"
"SDF4","Q9BRK5",-2.53,0.000198,0.00141,TRUE,TRUE,TRUE,12,"45 kDa calcium-binding protein"
"SDPR","O95810",1.5,0.000235,0.00157,TRUE,TRUE,FALSE,0,"Serum deprivation-response protein"
"SEC16A","O15027",-3.3,1.23e-07,2.67e-05,TRUE,TRUE,TRUE,5,"Protein transport protein Sec16A"
"SEC22B","O75396",-1.74,0.00376,0.0112,TRUE,TRUE,TRUE,4,"Vesicle-trafficking protein SEC22b"
"SEC23B","Q15437",-1.41,0.000325,0.00193,TRUE,TRUE,FALSE,0,"Protein transport protein Sec23B"
"SEC23IP","Q9Y6Y8",-1.56,0.00743,0.0186,TRUE,TRUE,TRUE,6,"SEC23-interacting protein"
"SEC24C","P53992",-1.29,0.0013,0.00508,TRUE,TRUE,FALSE,0,"Protein transport protein Sec24C"
"SEC24D","O94855",-1.58,0.00399,0.0117,TRUE,TRUE,TRUE,11,"Protein transport protein Sec24D"
"SEL1L","Q9UBV2",-1.48,0.000979,0.00415,TRUE,TRUE,TRUE,15,"Protein sel-1 homolog 1"
"SELM","Q8WWX9",1.29,0.00658,0.0169,TRUE,TRUE,TRUE,7,"Selenoprotein M"
"SEPT6","Q14141",-1.41,0.00681,0.0174,TRUE,TRUE,TRUE,8,"Septin-6"
"SERPINA1","P01009",1.1,0.00198,0.00697,TRUE,TRUE,FALSE,0,"Alpha-1-antitrypsin;Short peptide from AAT"
"SERPINA6","P08185",2.32,0.00011,0.000999,TRUE,TRUE,TRUE,11,"Corticosteroid-binding globulin"
"SERPINC1","P01008",1.88,4.16e-07,4.51e-05,TRUE,TRUE,FALSE,0,"Antithrombin-III"
"SERPIND1","P05546",1.43,6.09e-05,0.000705,TRUE,TRUE,TRUE,2,"Heparin cofactor 2"
"SERPINF1","P36955",1.12,0.000142,0.00115,TRUE,TRUE,FALSE,0,"Pigment epithelium-derived factor"
"SERPINF2","P08697",3.16,7.26e-05,0.000783,TRUE,TRUE,TRUE,6,"Alpha-2-antiplasmin"
"SERPING1","P05155",1.01,0.000672,0.00317,TRUE,TRUE,FALSE,0,"Plasma protease C1 inhibitor"
"SETD7","Q8WTS6",-1.48,0.00963,0.023,TRUE,TRUE,TRUE,8,"Histone-lysine N-methyltransferase SETD7"
"SF3A1","Q15459",-1.27,9.2e-06,0.000246,TRUE,TRUE,FALSE,0,"Splicing factor 3A subunit 1"
"SF3A2","Q15428",-1.69,0.000814,0.00359,TRUE,TRUE,TRUE,10,"Splicing factor 3A subunit 2"
"SF3A3","Q12874",-1.66,0.000295,0.00181,TRUE,TRUE,TRUE,4,"Splicing factor 3A subunit 3"
"SF3B1","O75533",-1.53,0.000248,0.00163,TRUE,TRUE,FALSE,0,"Splicing factor 3B subunit 1"
"SF3B2","Q13435",-1.79,0.00181,0.00656,TRUE,TRUE,TRUE,2,"Splicing factor 3B subunit 2"
"SF3B3","Q15393",-1.62,0.00207,0.00722,TRUE,TRUE,TRUE,1,"Splicing factor 3B subunit 3"
"SFXN1","Q9H9B4",-1.65,0.00854,0.0208,TRUE,TRUE,TRUE,8,"Sideroflexin-1"
"SHMT2","P34897",-1.23,0.00427,0.0122,TRUE,TRUE,TRUE,7,"Serine hydroxymethyltransferase, mitochondrial"
"SIAE","Q9HAT2",-2.17,0.000555,0.00279,TRUE,TRUE,TRUE,5,"Sialate O-acetylesterase"
"SKIV2L","Q15477",-1.09,0.00459,0.0128,TRUE,TRUE,TRUE,6,"Helicase SKI2W"
"SLC12A2","P55011",-2.5,8.52e-05,0.000874,TRUE,TRUE,TRUE,4,"Solute carrier family 12 member 2"
"SLC14A1","Q13336",1.55,0.00399,0.0117,TRUE,TRUE,TRUE,12,"Urea transporter 1"
"SLC1A5","Q15758",-1.06,0.0196,0.0401,TRUE,TRUE,TRUE,4,"Neutral amino acid transporter B(0)"
"SLC25A10","Q9UBX3",-2.29,1.51e-05,0.000317,TRUE,TRUE,TRUE,10,"Mitochondrial dicarboxylate carrier"
"SLC25A13","Q9UJS0",-1.99,6.34e-05,0.000718,TRUE,TRUE,TRUE,3,"Calcium-binding mitochondrial carrier protein Aralar2"
"SLC4A4","Q9Y6R1",-2.47,0.0025,0.00834,TRUE,TRUE,TRUE,12,"Electrogenic sodium bicarbonate cotransporter 1"
"SLIRP","Q9GZT3",-1.63,0.00827,0.0203,TRUE,TRUE,TRUE,3,"SRA stem-loop-interacting RNA-binding protein, mitochondrial"
"SLMAP","Q14BN4",2.19,0.0025,0.00834,TRUE,TRUE,TRUE,1,"Sarcolemmal membrane-associated protein"
"SMC3","Q9UQE7",-1.4,0.0195,0.04,TRUE,TRUE,TRUE,9,"Structural maintenance of chromosomes protein 3"
"SMTN","P53814",1.21,0.00517,0.014,TRUE,TRUE,FALSE,0,"Smoothelin"
"SMU1","Q2TAY7",-1.31,7.68e-05,0.000811,TRUE,TRUE,TRUE,14,"WD40 repeat-containing protein SMU1;WD40 repeat-containing protein SMU1, N-terminally processed"
"SNCG","O76070",3.64,1.67e-05,0.000332,TRUE,TRUE,TRUE,6,"Gamma-synuclein"
"SNRNP70","P08621",-1.93,0.000246,0.00163,TRUE,TRUE,TRUE,2,"U1 small nuclear ribonucleoprotein 70 kDa"
"SNRPA","P09012",-2.54,0.000774,0.00348,TRUE,TRUE,TRUE,9,"U1 small nuclear ribonucleoprotein A"
"SNRPA1","P09661",-2.61,7.04e-06,0.000225,TRUE,TRUE,TRUE,8,"U2 small nuclear ribonucleoprotein A"
"SNRPC","P09234",-3.06,9.13e-05,0.00089,TRUE,TRUE,TRUE,11,"U1 small nuclear ribonucleoprotein C"
"SNRPD1","P62314",-1.98,0.00017,0.00126,TRUE,TRUE,TRUE,10,"Small nuclear ribonucleoprotein Sm D1"
"SNRPD2","P62316",-2.63,8.74e-05,0.000881,TRUE,TRUE,TRUE,8,"Small nuclear ribonucleoprotein Sm D2"
"SNRPD3","P62318",-1.53,0.00625,0.0162,TRUE,TRUE,TRUE,4,"Small nuclear ribonucleoprotein Sm D3"
"SNX9","Q9Y5X1",-1.61,0.00799,0.0197,TRUE,TRUE,TRUE,7,"Sorting nexin-9"
"SOD3","P08294",1.58,6.57e-06,0.000225,TRUE,TRUE,FALSE,0,"Extracellular superoxide dismutase [Cu-Zn]"
"SON","P18583",-2.3,6.12e-05,0.000705,TRUE,TRUE,TRUE,9,"Protein SON"
"SORBS2","O94875",1.15,0.00396,0.0116,TRUE,TRUE,FALSE,0,"Sorbin and SH3 domain-containing protein 2"
"SPCS1","Q9Y6A9",-1.92,0.0105,0.0246,TRUE,TRUE,TRUE,5,"Signal peptidase complex subunit 1"
"SPCS2","Q15005",-1.63,0.000545,0.00278,TRUE,TRUE,TRUE,8,"Signal peptidase complex subunit 2"
"SPON1","Q9HCB6",3.59,1.51e-10,1.21e-07,TRUE,TRUE,TRUE,10,"Spondin-1"
"SPON2","Q9BUD6",-2.74,0.0155,0.0335,TRUE,TRUE,TRUE,10,"Spondin-2"
"SPTBN2","O15020",-2.66,0.00057,0.00284,TRUE,TRUE,TRUE,7,"Spectrin beta chain, non-erythrocytic 2"
"SRP54","P61011",-1.64,1.99e-05,0.00036,TRUE,TRUE,TRUE,2,"Signal recognition particle 54 kDa protein"
"SRP9","P49458",-2.04,0.0223,0.0444,TRUE,TRUE,TRUE,11,"Signal recognition particle 9 kDa protein"
"SRPRB","Q9Y5M8",-1.2,0.00372,0.0111,TRUE,TRUE,TRUE,5,"Signal recognition particle receptor subunit beta"
"SRRM1","Q8IYB3",-2.02,0.000129,0.0011,TRUE,TRUE,TRUE,6,"Serine/arginine repetitive matrix protein 1"
"SRRM2","Q9UQ35",-2.99,2.43e-08,9.68e-06,TRUE,TRUE,TRUE,13,"Serine/arginine repetitive matrix protein 2"
"SRRT","Q9BXP5",-2,0.000271,0.00171,TRUE,TRUE,TRUE,3,"Serrate RNA effector molecule homolog"
"SRSF11","Q05519",-1.87,0.000319,0.00191,TRUE,TRUE,TRUE,9,"Serine/arginine-rich splicing factor 11"
"SRSF2","Q01130",-1.92,0.00214,0.0074,TRUE,TRUE,TRUE,1,"Serine/arginine-rich splicing factor 2"
"SRSF3","P84103",-3.14,0.000731,0.00333,TRUE,TRUE,TRUE,12,"Serine/arginine-rich splicing factor 3"
"SRSF5","Q13243",-1.58,0.000374,0.00213,TRUE,TRUE,TRUE,5,"Serine/arginine-rich splicing factor 5"
"SRSF6","Q13247",-3.59,3.01e-05,0.000454,TRUE,TRUE,TRUE,9,"Serine/arginine-rich splicing factor 6"
"SRSF7","Q16629",-1.82,0.016,0.0342,TRUE,TRUE,TRUE,2,"Serine/arginine-rich splicing factor 7"
"SRSF9","Q13242",-2.88,8.23e-08,2.01e-05,TRUE,TRUE,TRUE,10,"Serine/arginine-rich splicing factor 9"
"SSR4","P51571",-1.51,3.4e-07,3.87e-05,TRUE,TRUE,TRUE,1,"Translocon-associated protein subunit delta"
"SSRP1","Q08945",-1.05,0.0131,0.0293,TRUE,TRUE,TRUE,10,"FACT complex subunit SSRP1"
"STAU1","O95793",-1.14,0.00491,0.0135,TRUE,TRUE,TRUE,5,"Double-stranded RNA-binding protein Staufen homolog 1"
"STEAP2","Q8NFT2",-2.55,0.000388,0.00218,TRUE,TRUE,TRUE,9,"Metalloreductase STEAP2"
"STEAP4","Q687X5",-2.16,0.000173,0.00128,TRUE,TRUE,TRUE,2,"Metalloreductase STEAP4"
"STK39","Q9UEW8",-2.71,4.69e-06,0.000195,TRUE,TRUE,TRUE,6,"STE20/SPS1-related proline-alanine-rich protein kinase"
"STRAP","Q9Y3F4",-1.07,0.00424,0.0121,TRUE,TRUE,TRUE,1,"Serine-threonine kinase receptor-associated protein"
"SUB1","P53999",-1.17,9.07e-07,7.78e-05,TRUE,TRUE,FALSE,0,"Activated RNA polymerase II transcriptional coactivator p15"
"SUPT16H","Q9Y5B9",-1.69,2.92e-05,0.000447,TRUE,TRUE,TRUE,4,"FACT complex subunit SPT16"
"SVIL","O95425",2.18,0.000289,0.00179,TRUE,TRUE,TRUE,1,"Supervillin"
"SYMPK","Q92797",-1.22,0.000515,0.00267,TRUE,TRUE,TRUE,13,"Symplekin"
"SYNJ2BP","P57105",-1.78,0.00138,0.0053,TRUE,TRUE,TRUE,8,"Synaptojanin-2-binding protein"
"SYNM","O15061",1.32,0.00356,0.0108,TRUE,TRUE,FALSE,0,"Synemin"
"SYNPO","Q8N3V7",2.38,0.0155,0.0335,TRUE,TRUE,TRUE,7,"Synaptopodin"
"SYNPO2","Q9UMS6",1.08,0.000619,0.003,TRUE,TRUE,FALSE,0,"Synaptopodin-2"
"SYTL1","Q8IYJ3",-1.62,0.0101,0.0238,TRUE,TRUE,TRUE,9,"Synaptotagmin-like protein 1"
"TAOK3","Q9H2K8",-1.43,0.00859,0.0209,TRUE,TRUE,TRUE,13,"Serine/threonine-protein kinase TAO3"
"TARDBP","Q13148",-1.15,0.00565,0.0149,TRUE,TRUE,TRUE,1,"TAR DNA-binding protein 43"
"TARS","P26639",-1.66,1.74e-05,0.000333,TRUE,TRUE,FALSE,0,"Threonine--tRNA ligase, cytoplasmic"
"TCERG1","O14776",-1.36,0.00983,0.0234,TRUE,TRUE,TRUE,15,"Transcription elongation regulator 1"
"TCOF1","Q13428",-1.63,0.00103,0.00431,TRUE,TRUE,TRUE,15,"Treacle protein"
"TF","P02787",1.16,0.00041,0.00226,TRUE,TRUE,FALSE,0,"Serotransferrin"
"TGFB1I1","O43294",1.08,0.00026,0.00167,TRUE,TRUE,FALSE,0,"Transforming growth factor beta-1-induced transcript 1 protein"
"THBS4","P35443",-1.98,0.00395,0.0116,TRUE,TRUE,TRUE,14,"Thrombospondin-4"
"THRAP3","Q9Y2W1",-2.47,4.33e-06,0.000195,TRUE,TRUE,TRUE,3,"Thyroid hormone receptor-associated protein 3"
"THUMPD1","Q9NXG2",-1.4,0.00137,0.00528,TRUE,TRUE,TRUE,2,"THUMP domain-containing protein 1"
"TIAL1","Q01085",-1.61,0.00172,0.00632,TRUE,TRUE,TRUE,14,"Nucleolysin TIAR"
"TIMM13","Q9Y5L4",-1.62,0.000477,0.00251,TRUE,TRUE,TRUE,2,"Mitochondrial import inner membrane translocase subunit Tim13"
"TIMP1","P01033",1.85,0.00313,0.00986,TRUE,TRUE,TRUE,1,"Metalloproteinase inhibitor 1"
"TINAGL1","Q9GZM7",1.71,0.00218,0.0075,TRUE,TRUE,TRUE,1,"Tubulointerstitial nephritis antigen-like"
"TJP1","Q07157",-2.45,0.000113,0.00101,TRUE,TRUE,TRUE,4,"Tight junction protein ZO-1"
"TLN2","Q9Y4G6",1.21,0.000928,0.00399,TRUE,TRUE,TRUE,1,"Talin-2"
"TM9SF2","Q99805",-1.59,1.36e-05,0.000308,TRUE,TRUE,FALSE,0,"Transmembrane 9 superfamily member 2"
"TM9SF3","Q9HD45",-2.32,2e-04,0.00141,TRUE,TRUE,TRUE,4,"Transmembrane 9 superfamily member 3"
"TM9SF4","Q92544",-2.79,2.34e-05,0.000401,TRUE,TRUE,TRUE,5,"Transmembrane 9 superfamily member 4"
"TMED1","Q13445",-1.36,0.0038,0.0113,TRUE,TRUE,TRUE,10,"Transmembrane emp24 domain-containing protein 1"
"TMED10","P49755",-1.06,0.000169,0.00126,TRUE,TRUE,FALSE,0,"Transmembrane emp24 domain-containing protein 10"
"TMED2","Q15363",-1.02,0.0255,0.0495,TRUE,TRUE,TRUE,2,"Transmembrane emp24 domain-containing protein 2"
"TMED4","Q7Z7H5",-3.85,2.28e-06,0.000139,TRUE,TRUE,TRUE,10,"Transmembrane emp24 domain-containing protein 4"
"TMED5","Q9Y3A6",-1.5,0.00565,0.0149,TRUE,TRUE,TRUE,8,"Transmembrane emp24 domain-containing protein 5"
"TMED7","Q9Y3B3",-1.04,0.000864,0.00379,TRUE,TRUE,FALSE,0,"Transmembrane emp24 domain-containing protein 7"
"TMEM165","Q9HC07",-1.63,0.0054,0.0145,TRUE,TRUE,TRUE,13,"Transmembrane protein 165"
"TMEM87A","Q8NBN3",-3.03,1.09e-05,0.000272,TRUE,TRUE,TRUE,7,"Transmembrane protein 87A"
"TOMM22","Q9NS69",-1.66,0.000472,0.0025,TRUE,TRUE,TRUE,4,"Mitochondrial import receptor subunit TOM22 homolog"
"TOP1","P11387",-2.45,7.28e-05,0.000783,TRUE,TRUE,TRUE,11,"DNA topoisomerase 1"
"TP53BP1","Q12888",-1.94,0.000353,0.00205,TRUE,TRUE,TRUE,14,"Tumor suppressor p53-binding protein 1"
"TPD52","P55327",-1.88,0.000889,0.00387,TRUE,TRUE,TRUE,1,"Tumor protein D52"
"TPP1","O14773",-1.09,9.62e-05,0.000927,TRUE,TRUE,FALSE,0,"Tripeptidyl-peptidase 1"
"TPP2","P29144",-1.32,0.00558,0.0149,TRUE,TRUE,TRUE,14,"Tripeptidyl-peptidase 2"
"TPR","P12270",-2.09,4.93e-05,0.000613,TRUE,TRUE,TRUE,2,"Nucleoprotein TPR"
"TPSAB1","Q15661",1.09,0.00285,0.0092,TRUE,TRUE,FALSE,0,"Tryptase alpha/beta-1;Tryptase beta-2"
"TRAP1","Q12931",-1.77,0.000294,0.0018,TRUE,TRUE,TRUE,3,"Heat shock protein 75 kDa, mitochondrial"
"TRIM28","Q13263",-1.64,1.05e-05,0.000264,TRUE,TRUE,FALSE,0,"Transcription intermediary factor 1-beta"
"TRIP6","Q15654",1.89,0.0115,0.0263,TRUE,TRUE,TRUE,7,"Thyroid receptor-interacting protein 6"
"TRNT1","Q96Q11",-1.59,0.000217,0.0015,TRUE,TRUE,TRUE,7,"CCA tRNA nucleotidyltransferase 1, mitochondrial"
"TROVE2","P10155",-1.38,0.00423,0.0121,TRUE,TRUE,TRUE,1,"60 kDa SS-A/Ro ribonucleoprotein"
"TSG101","Q99816",-1.86,0.00791,0.0196,TRUE,TRUE,TRUE,12,"Tumor susceptibility gene 101 protein"
"TST","Q16762",-1.79,0.00446,0.0126,TRUE,TRUE,TRUE,4,"Thiosulfate sulfurtransferase"
"TSTA3","Q13630",-2.33,0.000177,0.00129,TRUE,TRUE,TRUE,8,"GDP-L-fucose synthase"
"TTC37","Q6PGP7",-1.19,0.00399,0.0117,TRUE,TRUE,TRUE,3,"Tetratricopeptide repeat protein 37"
"TTC38","Q5R3I4",-1.65,0.000982,0.00416,TRUE,TRUE,TRUE,1,"Tetratricopeptide repeat protein 38"
"TTLL12","Q14166",-2.83,4.97e-05,0.000613,TRUE,TRUE,TRUE,2,"Tubulin--tyrosine ligase-like protein 12"
"TTR","P02766",1.27,0.00037,0.00211,TRUE,TRUE,FALSE,0,"Transthyretin"
"TUBB3","Q13509",-1.33,0.000564,0.00282,TRUE,TRUE,TRUE,15,"Tubulin beta-3 chain"
"TWF1","Q12792",-1.4,0.00255,0.00848,TRUE,TRUE,TRUE,3,"Twinfilin-1"
"TXNRD2","Q9NNW7",-1.81,0.00563,0.0149,TRUE,TRUE,TRUE,3,"Thioredoxin reductase 2, mitochondrial"
"U2SURP","O15042",-1.89,0.000285,0.00178,TRUE,TRUE,TRUE,11,"U2 snRNP-associated SURP motif-containing protein"
"UAP1","Q16222",-3.34,2.43e-05,0.000411,TRUE,TRUE,TRUE,11,"UDP-N-acetylhexosamine pyrophosphorylase;UDP-N-acetylgalactosamine pyrophosphorylase;UDP-N-acetylglucosamine pyrophosphorylase"
"UBA2","Q9UBT2",-1.29,0.00497,0.0136,TRUE,TRUE,TRUE,2,"SUMO-activating enzyme subunit 2"
"UBAP2L","Q14157",-1.25,0.00257,0.00851,TRUE,TRUE,TRUE,2,"Ubiquitin-associated protein 2-like"
"UBQLN4","Q9NRR5",-1.14,7.22e-05,0.000783,TRUE,TRUE,TRUE,12,"Ubiquilin-4"
"UBTF","P17480",-1.25,0.00249,0.00833,TRUE,TRUE,TRUE,4,"Nucleolar transcription factor 1"
"UBXN1","Q04323",1.73,0.000293,0.0018,TRUE,TRUE,TRUE,6,"UBX domain-containing protein 1"
"UCHL1","P09936",2.98,0.000871,0.00381,TRUE,TRUE,TRUE,2,"Ubiquitin carboxyl-terminal hydrolase isozyme L1"
"UCHL3","P15374",-1.13,0.000167,0.00125,TRUE,TRUE,FALSE,0,"Ubiquitin carboxyl-terminal hydrolase isozyme L3"
"UGDH","O60701",-1.24,9.31e-06,0.000246,TRUE,TRUE,FALSE,0,"UDP-glucose 6-dehydrogenase"
"UPF1","Q92900",-1.9,0.000148,0.00118,TRUE,TRUE,TRUE,4,"Regulator of nonsense transcripts 1"
"UQCRQ","O14949",-2.22,0.000162,0.00125,TRUE,TRUE,TRUE,8,"Cytochrome b-c1 complex subunit 8"
"UROD","P06132",-1.79,0.000495,0.00258,TRUE,TRUE,TRUE,10,"Uroporphyrinogen decarboxylase"
"USP7","Q93009",-1.56,0.00332,0.0103,TRUE,TRUE,TRUE,2,"Ubiquitin carboxyl-terminal hydrolase 7"
"USP9X","Q93008",-1.57,0.000678,0.00318,TRUE,TRUE,TRUE,8,"Probable ubiquitin carboxyl-terminal hydrolase FAF-X"
"VAMP8","Q9BV40",-2.23,0.000907,0.00391,TRUE,TRUE,TRUE,14,"Vesicle-associated membrane protein 8"
"VCL","P18206",1,0.000131,0.0011,TRUE,TRUE,FALSE,0,"Vinculin"
"VDAC3","Q9Y277",-1.74,0.0129,0.0289,TRUE,TRUE,TRUE,8,"Voltage-dependent anion-selective channel protein 3"
"VKORC1L1","Q8N0U8",-1.05,0.000147,0.00117,TRUE,TRUE,TRUE,9,"Vitamin K epoxide reductase complex subunit 1-like protein 1"
"VPS26B","Q4G0F5",-2.02,1.72e-05,0.000333,TRUE,TRUE,TRUE,7,"Vacuolar protein sorting-associated protein 26B"
"VTA1","Q9NP79",-1.49,0.00538,0.0144,TRUE,TRUE,TRUE,11,"Vacuolar protein sorting-associated protein VTA1 homolog"
"VTN","P04004",1.28,0.00117,0.0047,TRUE,TRUE,FALSE,0,"Vitronectin;Vitronectin V65 subunit;Vitronectin V10 subunit;Somatomedin-B"
"VWA1","Q6PCB0",2.23,0.00163,0.00605,TRUE,TRUE,TRUE,2,"von Willebrand factor A domain-containing protein 1"
"VWA5A","O00534",1.15,0.00827,0.0203,TRUE,TRUE,TRUE,3,"von Willebrand factor A domain-containing protein 5A"
"WIBG","Q9BRP8",-1.47,0.0105,0.0247,TRUE,TRUE,TRUE,14,"Partner of Y14 and mago"
"XRN2","Q9H0D6",-2.39,6.1e-06,0.000224,TRUE,TRUE,TRUE,5,"5-3 exoribonuclease 2"
